,compound,crystal structure type,target,IP(A),IP(B),IP(C),EA(A),EA(B),EA(C),Eh(A),Eh(B),Eh(C),El(A),El(B),El(C),rs(A),rs(B),rs(C),rp(A),rp(B),rp(C),rd(A),rd(B),rd(C),Z(A),Z(B),Z(C),coord_0,coord_1
28,Al_Sb_Cl,hexagonal,trivial insulator,-5.7109,-8.0367,-13.783,0.0405,-1.3698,-3.6491,-2.7067,-4.6012,-8.554,3.1168,4.276,4.9235,1.1043,1.0035,0.6785,1.3965,1.24,0.7567,1.7101,0.4483,1.3489,13,51,17,375.49,-67.544
29,B_As_Cl,hexagonal,trivial insulator,-8.1249,-8.9924,-13.783,0.0319,-1.5202,-3.6491,-3.6057,-5.1007,-8.554,2.4537,4.0412,4.9235,0.8025,0.8558,0.6785,0.8348,1.0507,0.7567,1.3619,0.2524,1.3489,5,33,17,224.78,-113.19
30,B_Sb_Cl,hexagonal,trivial insulator,-8.1249,-8.0367,-13.783,0.0319,-1.3698,-3.6491,-3.6057,-4.6012,-8.554,2.4537,4.276,4.9235,0.8025,1.0035,0.6785,0.8348,1.24,0.7567,1.3619,0.4483,1.3489,5,51,17,328.56,-92.946
31,Cd_O_Cl,hexagonal,trivial insulator,-9.2604,-16.2932,-13.783,1.4516,-2.8068,-3.6491,-5.657,-9.019,-8.554,-1.1292,3.0142,4.9235,1.2355,0.4608,0.6785,1.804,0.4333,0.7567,0.5192,1.075,1.3489,48,8,17,325.07,-173.98
32,Cd_S_Cl,hexagonal,trivial insulator,-9.2604,-11.6948,-13.783,1.4516,-2.5741,-3.6491,-5.657,-6.981,-8.554,-1.1292,4.6386,4.9235,1.2355,0.7473,0.6785,1.804,0.8493,0.7567,0.5192,1.3934,1.3489,48,16,17,290.77,-110.71
33,Cd_Se_Cl,hexagonal,trivial insulator,-9.2604,-10.652,-13.783,1.4516,-2.4179,-3.6491,-5.657,-6.3811,-8.554,-1.1292,4.5507,4.9235,1.2355,0.7997,0.6785,1.804,0.9578,0.7567,0.5192,0.2397,1.3489,48,34,17,361.25,-96.357
34,Cd_Te_Cl,hexagonal,trivial insulator,-9.2604,-9.3677,-13.783,1.4516,-2.1853,-3.6491,-5.657,-5.6565,-8.554,-1.1292,3.4793,4.9235,1.2355,0.9497,0.6785,1.804,1.1492,0.7567,0.5192,0.4293,1.3489,48,52,17,428.67,-78.686
35,Ga_As_Cl,hexagonal,trivial insulator,-5.7265,-8.9924,-13.783,0.0668,-1.5202,-3.6491,-2.6553,-5.1007,-8.554,-2.5397,4.0412,4.9235,1.0027,0.8558,0.6785,1.344,1.0507,0.7567,0.2823,0.2524,1.3489,31,33,17,378.58,-90.592
36,Ga_N_Cl,hexagonal,trivial insulator,-5.7265,-13.4588,-13.783,0.0668,-1.6717,-3.6491,-2.6553,-7.0838,-8.554,-2.5397,4.1488,4.9235,1.0027,0.5361,0.6785,1.344,0.5154,0.7567,0.2823,1.214,1.3489,31,7,17,305.94,-166.32
37,Ga_P_Cl,hexagonal,trivial insulator,-5.7265,-9.6747,-13.783,0.0668,-1.5811,-3.6491,-2.6553,-5.4891,-8.554,-2.5397,4.1935,4.9235,1.0027,0.8336,0.6785,1.344,0.9712,0.7567,0.2823,1.4172,1.3489,31,15,17,281.47,-102.16
38,Hg_O_Cl,hexagonal,trivial insulator,-10.719,-16.2932,-13.783,1.2734,-2.8068,-3.6491,-6.808,-9.019,-8.554,-1.369,3.0142,4.9235,1.1675,0.4608,0.6785,1.8734,0.4333,0.7567,0.6158,1.075,1.3489,80,8,17,510.83,-184.11
39,Hg_S_Cl,hexagonal,trivial insulator,-10.719,-11.6948,-13.783,1.2734,-2.5741,-3.6491,-6.808,-6.981,-8.554,-1.369,4.6386,4.9235,1.1675,0.7473,0.6785,1.8734,0.8493,0.7567,0.6158,1.3934,1.3489,80,16,17,436.15,-117.16
40,Hg_Se_Cl,hexagonal,trivial insulator,-10.719,-10.652,-13.783,1.2734,-2.4179,-3.6491,-6.808,-6.3811,-8.554,-1.369,4.5507,4.9235,1.1675,0.7997,0.6785,1.8734,0.9578,0.7567,0.6158,0.2397,1.3489,80,34,17,502.22,-101.97
41,Hg_Te_Cl,hexagonal,trivial insulator,-10.719,-9.3677,-13.783,1.2734,-2.1853,-3.6491,-6.808,-5.6565,-8.554,-1.369,3.4793,4.9235,1.1675,0.9497,0.6785,1.8734,1.1492,0.7567,0.6158,0.4293,1.3489,80,52,17,565.84,-83.269
42,In_As_Cl,hexagonal,trivial insulator,-5.5634,-8.9924,-13.783,-0.1615,-1.5202,-3.6491,-2.7148,-5.1007,-8.554,-2.4096,4.0412,4.9235,1.1407,0.8558,0.6785,1.5133,1.0507,0.7567,0.4929,0.2524,1.3489,49,33,17,485.05,-79.632
43,In_N_Cl,hexagonal,trivial insulator,-5.5634,-13.4588,-13.783,-0.1615,-1.6717,-3.6491,-2.7148,-7.0838,-8.554,-2.4096,4.1488,4.9235,1.1407,0.5361,0.6785,1.5133,0.5154,0.7567,0.4929,1.214,1.3489,49,7,17,450.85,-146.2
44,In_P_Cl,hexagonal,trivial insulator,-5.5634,-9.6747,-13.783,-0.1615,-1.5811,-3.6491,-2.7148,-5.4891,-8.554,-2.4096,4.1935,4.9235,1.1407,0.8336,0.6785,1.5133,0.9712,0.7567,0.4929,1.4172,1.3489,49,15,17,391.61,-89.8
45,Si_Ge_Cl,hexagonal,trivial insulator,-7.674,-7.5349,-13.783,-0.7975,-0.658,-3.6491,-4.0707,-4.0179,-8.554,3.7258,-3.8308,4.9235,0.9466,0.922,0.6785,1.1405,1.1721,0.7567,1.1619,0.2666,1.3489,14,32,17,526.76,-69.785
46,Si_Si_Cl,hexagonal,trivial insulator,-7.674,-7.674,-13.783,-0.7975,-0.7975,-3.6491,-4.0707,-4.0707,-8.554,3.7258,3.7258,4.9235,0.9466,0.9466,0.6785,1.1405,1.1405,0.7567,1.1619,1.1619,1.3489,14,14,17,269.43,-72.283
47,Si_Sn_Cl,hexagonal,trivial insulator,-7.674,-7.1531,-13.783,-0.7975,-0.6953,-3.6491,-4.0707,-3.9778,-8.554,3.7258,-3.5282,4.9235,0.9466,1.066,0.6785,1.1405,1.3554,0.7567,1.1619,0.4694,1.3489,14,50,17,658.42,-62.928
48,Zn_S_Cl,hexagonal,trivial insulator,-9.8943,-11.6948,-13.783,1.933,-2.5741,-3.6491,-5.9772,-6.981,-8.554,-0.8596,4.6386,4.9235,1.1068,0.7473,0.6785,1.6435,0.8493,0.7567,0.2997,1.3934,1.3489,30,16,17,208.99,-123.58
49,Zn_Se_Cl,hexagonal,trivial insulator,-9.8943,-10.652,-13.783,1.933,-2.4179,-3.6491,-5.9772,-6.3811,-8.554,-0.8596,4.5507,4.9235,1.1068,0.7997,0.6785,1.6435,0.9578,0.7567,0.2997,0.2397,1.3489,30,34,17,281.95,-107.56
50,Zn_Te_Cl,hexagonal,trivial insulator,-9.8943,-9.3677,-13.783,1.933,-2.1853,-3.6491,-5.9772,-5.6565,-8.554,-0.8596,3.4793,4.9235,1.1068,0.9497,0.6785,1.6435,1.1492,0.7567,0.2997,0.4293,1.3489,30,52,17,351.51,-87.835
51,C_Sn_Cl,hexagonal,trivial insulator,-10.7378,-7.1531,-13.783,-0.7084,-0.6953,-3.6491,-5.2827,-3.9778,-8.554,3.7441,-3.5282,4.9235,0.6418,1.066,0.6785,0.6367,1.3554,0.7567,1.1355,0.4694,1.3489,6,50,17,576.12,-92.814
52,Al_As_Br,hexagonal,trivial insulator,-5.7109,-8.9924,-12.3191,0.0405,-1.5202,-3.3579,-2.7067,-5.1007,-7.6871,3.1168,4.0412,5.1846,1.1043,0.8558,0.7514,1.3965,1.0507,0.8834,1.7101,0.2524,0.2281,13,33,35,272.1,-178.58
53,Al_P_Br,hexagonal,trivial insulator,-5.7109,-9.6747,-12.3191,0.0405,-1.5811,-3.3579,-2.7067,-5.4891,-7.6871,3.1168,4.1935,5.1846,1.1043,0.8336,0.7514,1.3965,0.9712,0.8834,1.7101,1.4172,0.2281,13,15,35,171.33,-200.21
54,Al_Sb_Br,hexagonal,trivial insulator,-5.7109,-8.0367,-12.3191,0.0405,-1.3698,-3.3579,-2.7067,-4.6012,-7.6871,3.1168,4.276,5.1846,1.1043,1.0035,0.7514,1.3965,1.24,0.8834,1.7101,0.4483,0.2281,13,51,35,375.49,-148.29
55,B_As_Br,hexagonal,trivial insulator,-8.1249,-8.9924,-12.3191,0.0319,-1.5202,-3.3579,-3.6057,-5.1007,-7.6871,2.4537,4.0412,5.1846,0.8025,0.8558,0.7514,0.8348,1.0507,0.8834,1.3619,0.2524,0.2281,5,33,35,224.78,-245.74
56,B_Sb_Br,hexagonal,trivial insulator,-8.1249,-8.0367,-12.3191,0.0319,-1.3698,-3.3579,-3.6057,-4.6012,-7.6871,2.4537,4.276,5.1846,0.8025,1.0035,0.7514,0.8348,1.24,0.8834,1.3619,0.4483,0.2281,5,51,35,328.56,-204.06
57,Cd_S_Br,hexagonal,trivial insulator,-9.2604,-11.6948,-12.3191,1.4516,-2.5741,-3.3579,-5.657,-6.981,-7.6871,-1.1292,4.6386,5.1846,1.2355,0.7473,0.7514,1.804,0.8493,0.8834,0.5192,1.3934,0.2281,48,16,35,290.77,-236.18
58,Cd_Se_Br,hexagonal,trivial insulator,-9.2604,-10.652,-12.3191,1.4516,-2.4179,-3.3579,-5.657,-6.3811,-7.6871,-1.1292,4.5507,5.1846,1.2355,0.7997,0.7514,1.804,0.9578,0.8834,0.5192,0.2397,0.2281,48,34,35,361.25,-206.63
59,Cd_Te_Br,hexagonal,trivial insulator,-9.2604,-9.3677,-12.3191,1.4516,-2.1853,-3.3579,-5.657,-5.6565,-7.6871,-1.1292,3.4793,5.1846,1.2355,0.9497,0.7514,1.804,1.1492,0.8834,0.5192,0.4293,0.2281,48,52,35,428.67,-170.25
60,Ga_As_Br,hexagonal,trivial insulator,-5.7265,-8.9924,-12.3191,0.0668,-1.5202,-3.3579,-2.6553,-5.1007,-7.6871,-2.5397,4.0412,5.1846,1.0027,0.8558,0.7514,1.344,1.0507,0.8834,0.2823,0.2524,0.2281,31,33,35,378.58,-196.68
61,Ga_P_Br,hexagonal,trivial insulator,-5.7265,-9.6747,-12.3191,0.0668,-1.5811,-3.3579,-2.6553,-5.4891,-7.6871,-2.5397,4.1935,5.1846,1.0027,0.8336,0.7514,1.344,0.9712,0.8834,0.2823,1.4172,0.2281,31,15,35,281.47,-220.49
62,Hg_S_Br,hexagonal,trivial insulator,-10.719,-11.6948,-12.3191,1.2734,-2.5741,-3.3579,-6.808,-6.981,-7.6871,-1.369,4.6386,5.1846,1.1675,0.7473,0.7514,1.8734,0.8493,0.8834,0.6158,1.3934,0.2281,80,16,35,436.15,-249.93
63,Hg_Se_Br,hexagonal,trivial insulator,-10.719,-10.652,-12.3191,1.2734,-2.4179,-3.3579,-6.808,-6.3811,-7.6871,-1.369,4.5507,5.1846,1.1675,0.7997,0.7514,1.8734,0.9578,0.8834,0.6158,0.2397,0.2281,80,34,35,502.22,-218.67
64,Hg_Te_Br,hexagonal,trivial insulator,-10.719,-9.3677,-12.3191,1.2734,-2.1853,-3.3579,-6.808,-5.6565,-7.6871,-1.369,3.4793,5.1846,1.1675,0.9497,0.7514,1.8734,1.1492,0.8834,0.6158,0.4293,0.2281,80,52,35,565.84,-180.17
65,In_As_Br,hexagonal,trivial insulator,-5.5634,-8.9924,-12.3191,-0.1615,-1.5202,-3.3579,-2.7148,-5.1007,-7.6871,-2.4096,4.0412,5.1846,1.1407,0.8558,0.7514,1.5133,1.0507,0.8834,0.4929,0.2524,0.2281,49,33,35,485.05,-172.88
66,In_P_Br,hexagonal,trivial insulator,-5.5634,-9.6747,-12.3191,-0.1615,-1.5811,-3.3579,-2.7148,-5.4891,-7.6871,-2.4096,4.1935,5.1846,1.1407,0.8336,0.7514,1.5133,0.9712,0.8834,0.4929,1.4172,0.2281,49,15,35,391.61,-193.82
67,Si_Ge_Br,hexagonal,trivial insulator,-7.674,-7.5349,-12.3191,-0.7975,-0.658,-3.3579,-4.0707,-4.0179,-7.6871,3.7258,-3.8308,5.1846,0.9466,0.922,0.7514,1.1405,1.1721,0.8834,1.1619,0.2666,0.2281,14,32,35,526.76,-154.44
68,Si_Si_Br,hexagonal,trivial insulator,-7.674,-7.674,-12.3191,-0.7975,-0.7975,-3.3579,-4.0707,-4.0707,-7.6871,3.7258,3.7258,5.1846,0.9466,0.9466,0.7514,1.1405,1.1405,0.8834,1.1619,1.1619,0.2281,14,14,35,269.43,-159.59
69,Si_Sn_Br,hexagonal,trivial insulator,-7.674,-7.1531,-12.3191,-0.7975,-0.6953,-3.3579,-4.0707,-3.9778,-7.6871,3.7258,-3.5282,5.1846,0.9466,1.066,0.7514,1.1405,1.3554,0.8834,1.1619,0.4694,0.2281,14,50,35,658.42,-140.33
70,Zn_S_Br,hexagonal,trivial insulator,-9.8943,-11.6948,-12.3191,1.933,-2.5741,-3.3579,-5.9772,-6.981,-7.6871,-0.8596,4.6386,5.1846,1.1068,0.7473,0.7514,1.6435,0.8493,0.8834,0.2997,1.3934,0.2281,30,16,35,208.99,-263.64
71,Zn_Se_Br,hexagonal,trivial insulator,-9.8943,-10.652,-12.3191,1.933,-2.4179,-3.3579,-5.9772,-6.3811,-7.6871,-0.8596,4.5507,5.1846,1.1068,0.7997,0.7514,1.6435,0.9578,0.8834,0.2997,0.2397,0.2281,30,34,35,281.95,-230.66
72,Zn_Te_Br,hexagonal,trivial insulator,-9.8943,-9.3677,-12.3191,1.933,-2.1853,-3.3579,-5.9772,-5.6565,-7.6871,-0.8596,3.4793,5.1846,1.1068,0.9497,0.7514,1.6435,1.1492,0.8834,0.2997,0.4293,0.2281,30,52,35,351.51,-190.05
73,C_Sn_Br,hexagonal,trivial insulator,-10.7378,-7.1531,-12.3191,-0.7084,-0.6953,-3.3579,-5.2827,-3.9778,-7.6871,3.7441,-3.5282,5.1846,0.6418,1.066,0.7514,0.6367,1.3554,0.8834,1.1355,0.4694,0.2281,6,50,35,576.12,-206.97
74,Al_As_I,hexagonal,trivial insulator,-5.7109,-8.9924,-10.6835,0.0405,-1.5202,-2.9703,-2.7067,-5.1007,-6.7057,3.1168,4.0412,3.8147,1.1043,0.8558,0.9024,1.3965,1.0507,1.0749,1.7101,0.2524,0.4119,13,33,53,272.1,-289.03
75,Al_P_I,hexagonal,trivial insulator,-5.7109,-9.6747,-10.6835,0.0405,-1.5811,-2.9703,-2.7067,-5.4891,-6.7057,3.1168,4.1935,3.8147,1.1043,0.8336,0.9024,1.3965,0.9712,1.0749,1.7101,1.4172,0.4119,13,15,53,171.33,-321.77
76,Al_Sb_I,hexagonal,trivial insulator,-5.7109,-8.0367,-10.6835,0.0405,-1.3698,-2.9703,-2.7067,-4.6012,-6.7057,3.1168,4.276,3.8147,1.1043,1.0035,0.9024,1.3965,1.24,1.0749,1.7101,0.4483,0.4119,13,51,53,375.49,-243.16
77,Cd_Te_I,hexagonal,trivial insulator,-9.2604,-9.3677,-10.6835,1.4516,-2.1853,-2.9703,-5.657,-5.6565,-6.7057,-1.1292,3.4793,3.8147,1.2355,0.9497,0.9024,1.804,1.1492,1.0749,0.5192,0.4293,0.4119,48,52,53,428.67,-274.43
78,Si_Si_I,hexagonal,trivial insulator,-7.674,-7.674,-10.6835,-0.7975,-0.7975,-2.9703,-4.0707,-4.0707,-6.7057,3.7258,3.7258,3.8147,0.9466,0.9466,0.9024,1.1405,1.1405,1.0749,1.1619,1.1619,0.4119,14,14,53,269.43,-263.36
79,Zn_Te_I,hexagonal,trivial insulator,-9.8943,-9.3677,-10.6835,1.933,-2.1853,-2.9703,-5.9772,-5.6565,-6.7057,-0.8596,3.4793,3.8147,1.1068,0.9497,0.9024,1.6435,1.1492,1.0749,0.2997,0.4293,0.4119,30,52,53,351.51,-306.34
80,Al_Bi_F,hexagonal,FIQSHI,-5.7109,-6.7766,-19.2311,0.0405,-0.6841,-4.0664,-2.7067,-3.6061,-11.0912,3.1168,2.1526,1.7177,1.1043,0.9899,0.4044,1.3965,1.3017,0.374,1.7101,0.5469,1.0655,13,83,9,950.96,-22.088
81,B_Bi_F,hexagonal,FIQSHI,-8.1249,-6.7766,-19.2311,0.0319,-0.6841,-4.0664,-3.6057,-3.6061,-11.0912,2.4537,2.1526,1.7177,0.8025,0.9899,0.4044,0.8348,1.3017,0.374,1.3619,0.5469,1.0655,5,83,9,871.72,-30.395
82,Cd_Po_F,hexagonal,FIQSHI,-9.2604,-7.8364,-19.2311,1.4516,-1.2653,-4.0664,-5.657,-4.4381,-11.0912,-1.1292,2.5755,1.7177,1.2355,0.9462,0.4044,1.804,1.2195,0.374,0.5192,0.5281,1.0655,48,84,9,817.52,-27.463
83,Ga_Bi_F,hexagonal,FIQSHI,-5.7265,-6.7766,-19.2311,0.0668,-0.6841,-4.0664,-2.6553,-3.6061,-11.0912,-2.5397,2.1526,1.7177,1.0027,0.9899,0.4044,1.344,1.3017,0.374,0.2823,0.5469,1.0655,31,83,9,1129.3,-24.326
84,Ge_Pb_F,hexagonal,FIQSHI,-7.5349,-7.4779,-19.2311,-0.658,-0.1649,-4.0664,-4.0179,-4.3124,-11.0912,-3.8308,-2.8218,1.7177,0.922,1.0396,0.4044,1.1721,1.4049,0.374,0.2666,0.5676,1.0655,32,82,9,5169.7,-33.301
85,Ge_Sn_F,hexagonal,FIQSHI,-7.5349,-7.1531,-19.2311,-0.658,-0.6953,-4.0664,-4.0179,-3.9778,-11.0912,-3.8308,-3.5282,1.7177,0.922,1.066,0.4044,1.1721,1.3554,0.374,0.2666,0.4694,1.0655,32,50,9,843.6,-30.13
86,In_Bi_F,hexagonal,FIQSHI,-5.5634,-6.7766,-19.2311,-0.1615,-0.6841,-4.0664,-2.7148,-3.6061,-11.0912,-2.4096,2.1526,1.7177,1.1407,0.9899,0.4044,1.5133,1.3017,0.374,0.4929,0.5469,1.0655,49,83,9,1307.6,-21.383
87,Pb_Pb_F,hexagonal,FIQSHI,-7.4779,-7.4779,-19.2311,-0.1649,-0.1649,-4.0664,-4.3124,-4.3124,-11.0912,-2.8218,-2.8218,1.7177,1.0396,1.0396,0.4044,1.4049,1.4049,0.374,0.5676,0.5676,1.0655,82,82,9,7437.1,-29.534
88,Si_Pb_F,hexagonal,FIQSHI,-7.674,-7.4779,-19.2311,-0.7975,-0.1649,-4.0664,-4.0707,-4.3124,-11.0912,3.7258,-2.8218,1.7177,0.9466,1.0396,0.4044,1.1405,1.4049,0.374,1.1619,0.5676,1.0655,14,82,9,4353.4,-32.436
89,Sn_Pb_F,hexagonal,FIQSHI,-7.1531,-7.4779,-19.2311,-0.6953,-0.1649,-4.0664,-3.9778,-4.3124,-11.0912,-3.5282,-2.8218,1.7177,1.066,1.0396,0.4044,1.3554,1.4049,0.374,0.4694,0.5676,1.0655,50,82,9,5985.9,-28.803
90,Sn_Sn_F,hexagonal,FIQSHI,-7.1531,-7.1531,-19.2311,-0.6953,-0.6953,-4.0664,-3.9778,-3.9778,-11.0912,-3.5282,-3.5282,1.7177,1.066,1.066,0.4044,1.3554,1.3554,0.374,0.4694,0.4694,1.0655,50,50,9,1028.8,-26.06
